Date,Not indexed,Indexed,Impressions
2026-03-01,,,0
2026-03-02,,,3
2026-03-03,0,3,15
2026-03-04,2,2,12
2026-03-05,2,2,21
2026-03-06,2,2,20
2026-03-07,2,2,11
2026-03-08,792,21,14
2026-03-09,792,21,13
2026-03-10,792,21,10
2026-03-11,790,34,13
2026-03-12,790,34,7
2026-03-13,790,34,21
2026-03-14,790,34,5
2026-03-15,790,34,13
2026-03-16,790,34,12
2026-03-17,790,34,6
2026-03-18,785,39,6
2026-03-19,785,39,13
2026-03-20,785,39,8
2026-03-21,785,39,5
2026-03-22,780,44,14
2026-03-23,780,44,4
2026-03-24,780,44,4
2026-03-25,16,44,7
2026-03-26,16,44,14
2026-03-27,16,44,8
2026-03-28,16,44,7
2026-03-29,17,44,19
2026-03-30,17,44,10
2026-03-31,17,44,10
2026-04-01,69,66,9
2026-04-02,69,66,12
2026-04-03,69,66,5
2026-04-04,69,66,15
2026-04-05,51,334,13
2026-04-06,51,334,9